window,workload
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,883
31,994
32,989
33,987
34,1000
35,995
36,992
37,994
38,998
39,987
40,1001
41,990
42,992
43,993
44,1002
45,979
46,1003
47,994
48,993
49,991
50,986
51,1000
52,990
53,994
54,989
55,997
56,994
57,992
58,989
59,998
60,987
61,998
62,990
63,989
64,993
65,991
66,1001
67,987
68,996
69,990
70,1001
71,995
72,992
73,995
74,996
75,985
76,997
77,992
78,992
79,995
80,1000
81,993
82,998
83,1001
84,988
85,986
86,1001
87,995
88,994
89,997
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,1
103,0
104,1
105,0
106,0
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,1
116,0
117,0
118,1
119,2

