window,value,percentile,total_count
0,8,0.0,550
0,15,50.0,550
0,255,90.0,175
0,255,99.0,175
0,255,99.9,175
0,255,99.99,175
0,255,99.999,175
0,255,100.0,175
1,1,0.0,220
1,3,50.0,431
1,127,90.0,275
1,255,99.0,74
1,255,99.9,74
1,255,99.99,74
1,255,99.999,74
1,255,100.0,74
2,1,0.0,233
2,127,50.0,274
2,255,90.0,251
2,255,99.0,251
2,255,99.9,251
2,255,99.99,251
2,255,99.999,251
2,255,100.0,251
3,1,0.0,285
3,3,50.0,289
3,255,90.0,151
3,255,99.0,151
3,255,99.9,151
3,255,99.99,151
3,255,99.999,151
3,255,100.0,151
4,0,0.0,525
4,0,50.0,525
4,127,90.0,275
4,255,99.0,51
4,255,99.9,51
4,255,99.99,51
4,255,99.999,51
4,255,100.0,51
5,1,0.0,390
5,127,50.0,275
5,255,90.0,227
5,255,99.0,227
5,255,99.9,227
5,255,99.99,227
5,255,99.999,227
5,255,100.0,227
6,1,0.0,152
6,7,50.0,114
6,255,90.0,126
6,255,99.0,126
6,255,99.9,126
6,255,99.99,126
6,255,99.999,126
6,255,100.0,126
7,2,0.0,461
7,7,50.0,515
7,7,90.0,515
7,127,99.0,24
7,127,99.9,24
7,127,99.99,24
7,127,99.999,24
7,127,100.0,24
8,4,0.0,617
8,7,50.0,617
8,127,90.0,199
8,127,99.0,199
8,127,99.9,199
8,127,99.99,199
8,127,99.999,199
8,127,100.0,199
9,1,0.0,597
9,1,50.0,597
9,31,90.0,275
9,127,99.0,99
9,127,99.9,99
9,127,99.99,99
9,127,99.999,99
9,127,100.0,99
10,2,0.0,47
10,31,50.0,275
10,255,90.0,241
10,255,99.0,241
10,255,99.9,241
10,255,99.99,241
10,255,99.999,241
10,255,100.0,241
11,2,0.0,8
11,7,50.0,543
11,255,90.0,173
11,255,99.0,173
11,255,99.9,173
11,255,99.99,173
11,255,99.999,173
11,255,100.0,173
12,2,0.0,198
12,7,50.0,454
12,63,90.0,274
12,255,99.0,74
12,255,99.9,74
12,255,99.99,74
12,255,99.999,74
12,255,100.0,74
13,4,0.0,476
13,127,50.0,275
13,255,90.0,248
13,255,99.0,248
13,255,99.9,248
13,255,99.99,248
13,255,99.999,248
13,255,100.0,248
14,1,0.0,322
14,3,50.0,256
14,255,90.0,147
14,255,99.0,147
14,255,99.9,147
14,255,99.99,147
14,255,99.999,147
14,255,100.0,147
15,2,0.0,7
15,7,50.0,669
15,127,90.0,275
15,255,99.0,49
15,255,99.9,49
15,255,99.99,49
15,255,99.999,49
15,255,100.0,49
16,1,0.0,158
16,3,50.0,490
16,255,90.0,224
16,255,99.0,224
16,255,99.9,224
16,255,99.99,224
16,255,99.999,224
16,255,100.0,224
17,1,0.0,226
17,7,50.0,122
17,15,90.0,398
17,15,99.0,398
17,15,99.9,398
17,15,99.99,398
17,15,99.999,398
17,15,100.0,398
18,2,0.0,54
18,7,50.0,650
18,15,90.0,275
18,127,99.0,21
18,127,99.9,21
18,127,99.99,21
18,127,99.999,21
18,127,100.0,21
19,4,0.0,521
19,7,50.0,521
19,31,90.0,471
19,31,99.0,471
19,31,99.9,471
19,31,99.99,471
19,31,99.999,471
19,31,100.0,471
20,2,0.0,486
20,7,50.0,145
20,63,90.0,369
20,63,99.0,369
20,63,99.9,369
20,63,99.99,369
20,63,99.999,369
20,63,100.0,369
21,4,0.0,457
21,63,50.0,543
21,63,90.0,543
21,63,99.0,543
21,63,99.9,543
21,63,99.99,543
21,63,99.999,543
21,63,100.0,543
22,4,0.0,540
22,7,50.0,540
22,63,90.0,444
22,63,99.0,444
22,63,99.9,444
22,63,99.99,444
22,63,99.999,444
22,63,100.0,444
23,2,0.0,29
23,7,50.0,628
23,127,90.0,274
23,255,99.0,69
23,255,99.9,69
23,255,99.99,69
23,255,99.999,69
23,255,100.0,69
24,4,0.0,480
24,127,50.0,277
24,255,90.0,243
24,255,99.0,243
24,255,99.9,243
24,255,99.99,243
24,255,99.999,243
24,255,100.0,243
25,2,0.0,582
25,3,50.0,582
25,255,90.0,143
25,255,99.0,143
25,255,99.9,143
25,255,99.99,143
25,255,99.999,143
25,255,100.0,143
26,2,0.0,5
26,7,50.0,678
26,63,90.0,317
26,63,99.0,317
26,63,99.9,317
26,63,99.99,317
26,63,99.999,317
26,63,100.0,317
27,1,0.0,508
27,1,50.0,508
27,127,90.0,492
27,127,99.0,492
27,127,99.9,492
27,127,99.99,492
27,127,99.999,492
27,127,100.0,492
28,2,0.0,176
28,7,50.0,392
28,255,90.0,115
28,255,99.0,115
28,255,99.9,115
28,255,99.99,115
28,255,99.999,115
28,255,100.0,115
29,2,0.0,127
29,7,50.0,582
29,127,90.0,276
29,255,99.0,15
29,255,99.9,15
29,255,99.99,15
