window,workload
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,789
31,1000
32,992
33,995
34,993
35,1000
36,997
37,990
38,993
39,997
40,1008
41,999
42,989
43,999
44,971
45,987
46,1011
47,995
48,980
49,1010
50,979
51,1003
52,982
53,1016
54,990
55,991
56,980
57,1001
58,1002
59,999
60,995
61,997
62,988
63,994
64,1011
65,986
66,1012
67,977
68,1007
69,991
70,1000
71,1001
72,1013
73,979
74,1001
75,990
76,1006
77,983
78,997
79,995
80,987
81,993
82,1008
83,991
84,1009
85,986
86,998
87,989
88,986
89,1010
90,3
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1

