window,value,percentile,total_count
39,1023,90.0,300
39,1023,99.0,300
39,1023,99.9,300
39,1023,99.99,300
39,1023,99.999,300
39,1023,100.0,300
40,32,0.0,60
40,511,50.0,312
40,1023,90.0,260
40,1023,99.0,260
40,1023,99.9,260
40,1023,99.99,260
40,1023,99.999,260
40,1023,100.0,260
41,32,0.0,70
41,511,50.0,392
41,1023,90.0,198
41,1023,99.0,198
41,1023,99.9,198
41,1023,99.99,198
41,1023,99.999,198
41,1023,100.0,198
42,32,0.0,80
42,511,50.0,350
42,1023,90.0,220
42,1023,99.0,220
42,1023,99.9,220
42,1023,99.99,220
42,1023,99.999,220
42,1023,100.0,220
43,32,0.0,90
43,511,50.0,530
43,1023,90.0,200
43,1023,99.0,200
43,1023,99.9,200
43,1023,99.99,200
43,1023,99.999,200
43,1023,100.0,200
44,4,0.0,1
44,511,50.0,546
44,1023,90.0,174
44,1023,99.0,174
44,1023,99.9,174
44,1023,99.99,174
44,1023,99.999,174
44,1023,100.0,174
45,64,0.0,130
45,511,50.0,464
45,1023,90.0,160
45,1023,99.0,160
45,1023,99.9,160
45,1023,99.99,160
45,1023,99.999,160
45,1023,100.0,160
46,64,0.0,201
46,511,50.0,510
46,1023,90.0,160
46,1023,99.0,160
46,1023,99.9,160
46,1023,99.99,160
46,1023,99.999,160
46,1023,100.0,160
47,8,0.0,20
47,511,50.0,510
47,1023,90.0,140
47,1023,99.0,140
47,1023,99.9,140
47,1023,99.99,140
47,1023,99.999,140
47,1023,100.0,140
48,16,0.0,30
48,511,50.0,299
48,1023,90.0,300
48,1023,99.0,300
48,1023,99.9,300
48,1023,99.99,300
48,1023,99.999,300
48,1023,100.0,300
49,16,0.0,30
49,511,50.0,407
49,1023,90.0,223
49,1023,99.0,223
49,1023,99.9,223
49,1023,99.99,223
49,1023,99.999,223
49,1023,100.0,223
50,32,0.0,80
50,511,50.0,350
50,1023,90.0,240
50,1023,99.0,240
50,1023,99.9,240
50,1023,99.99,240
50,1023,99.999,240
50,1023,100.0,240
51,32,0.0,100
51,511,50.0,510
51,1023,90.0,210
51,1023,99.0,210
51,1023,99.9,210
51,1023,99.99,210
51,1023,99.999,210
51,1023,100.0,210
52,64,0.0,130
52,511,50.0,510
52,1023,90.0,190
52,1023,99.0,190
52,1023,99.9,190
52,1023,99.99,190
52,1023,99.999,190
52,1023,100.0,190
53,32,0.0,76
53,511,50.0,469
53,1023,90.0,180
53,1023,99.0,180
53,1023,99.9,180
53,1023,99.99,180
53,1023,99.999,180
53,1023,100.0,180
54,64,0.0,176
54,511,50.0,455
54,1023,90.0,274
54,1023,99.0,274
54,1023,99.9,274
54,1023,99.99,274
54,1023,99.999,274
54,1023,100.0,274
55,4,0.0,1
55,511,50.0,416
55,1023,90.0,174
55,1023,99.0,174
55,1023,99.9,174
55,1023,99.99,174
55,1023,99.999,174
55,1023,100.0,174
56,32,0.0,79
56,511,50.0,330
56,1023,90.0,260
56,1023,99.0,260
56,1023,99.9,260
56,1023,99.99,260
56,1023,99.999,260
56,1023,100.0,260
57,32,0.0,90
57,511,50.0,520
57,1023,90.0,210
57,1023,99.0,210
57,1023,99.9,210
57,1023,99.99,210
57,1023,99.999,210
57,1023,100.0,210
58,16,0.0,28
58,511,50.0,549
58,1023,90.0,148
58,1023,99.0,148
58,1023,99.9,148
58,1023,99.99,148
58,1023,99.999,148
58,1023,100.0,148
59,64,0.0,130
59,511,50.0,428
59,1023,90.0,170
59,1023,99.0,170
59,1023,99.9,170
59,1023,99.99,170
59,1023,99.999,170
59,1023,100.0,170
60,64,0.0,150
60,511,50.0,510
60,1023,90.0,160
60,1023,99.0,160
60,1023,99.9,160
60,1023,99.99,160
60,1023,99.999,160
60,1023,100.0,160
61,32,0.0,54
61,511,50.0,520
61,1023,90.0,150
61,1023,99.0,150
61,1023,99.9,150
61,1023,99.99,150
61,1023,99.999,150
61,1023,100.0,150
62,8,0.0,10
62,511,50.0,421
62,1023,90.0,150
62,1023,99.0,150
62,1023,99.9,150
62,1023,99.99,150
62,1023,99.999,150
62,1023,100.0,150
63,8,0.0,20
63,511,50.0,452
63,1023,90.0,198
63,1023,99.0,198
63,1023,99.9,198
63,1023,99.99,198
63,1023,99.999,198
63,1023,100.0,198
64,32,0.0,78
64,511,50.0,340
64,1023,90.0,260
64,1023,99.0,260
64,1023,99.9,260
64,1023,99.99,260
64,1023,99.999,260
64,1023,100.0,260
65,32,0.0,70
65,511,50.0,340
65,1023,90.0,240
65,1023,99.0,240
65,1023,99.9,240
65,1023,99.99,240
65,1023,99.999,240
65,1023,100.0,240
66,4,0.0,1
66,511,50.0,547
66,1023,90.0,173
66,1023,99.0,173
66,1023,99.9,173
66,1023,99.99,173
66,1023,99.999,173
66,1023,100.0,173
67,64,0.0,110
67,511,50.0,424
67,1023,90.0,200
67,1023,99.0,200
67,1023,99.9,200
67,1023,99.99,200
67,1023,99.999,200
67,1023,100.0,200
68,64,0.0,202
68,511,50.0,510
68,1023,90.0,180
68,1023,99.0,180
68,1023,99.9,180
68,1023,99.99,180
68,1023,99.999,180
68,1023,100.0,180
69,16,0.0,27
69,511,50.0,523
69,1023,90.0,147
69,1023,99.0,147
69,1023,99.9,147
69,1023,99.99,147
69,1023,99.999,147
69,1023,100.0,147
70,64,0.0,180
70,511,50.0,476
70,1023,90.0,120
70,1023,99.0,120
70,1023,99.9,120
70,1023,99.99,120
70,1023,99.999,120
70,1023,100.0,120
71,16,0.0,30
71,511,50.0,410
71,1023,90.0,220
71,1023,99.0,220
71,1023,99.9,220
71,1023,99.99,220
71,1023,99.999,220
71,1023,100.0,220
72,16,0.0,19
72,511,50.0,340
72,1023,90.0,270
72,1023,99.0,270
72,1023,99.9,270
72,1023,99.99,270
72,1023,99.999,270
72,1023,100.0,270
73,32,0.0,70
73,511,50.0,330
73,1023,90.0,240
73,1023,99.0,240
73,1023,99.9,240
73,1023,99.99,240
73,1023,99.999,240
73,1023,100.0,240
74,32,0.0,70
74,511,50.0,384
74,1023,90.0,196
74,1023,99.0,196
74,1023,99.9,196
74,1023,99.99,196
74,1023,99.999,196
74,1023,100.0,196
75,32,0.0,80
75,511,50.0,340
75,1023,90.0,230
75,1023,99.0,230
75,1023,99.9,230
75,1023,99.99,230
75,1023,99.999,230
75,1023,100.0,230
76,64,0.0,181
76,511,50.0,510
76,1023,90.0,210
76,1023,99.0,210
76,1023,99.9,210
76,1023,99.99,210
76,1023,99.999,210
76,1023,100.0,210
77,4,0.0,6
77,511,50.0,531
77,1023,90.0,169
77,1023,99.0,169
77,1023,99.9,169
77,1023,99.99,169
77,1023,99.999,169
77,1023,100.0,169
78,64,0.0,130
78,511,50.0,439
78,1023,90.0,180
78,1023,99.0,180
78,1023,99.9,180
78,1023,99.99,180
78,1023,99.999,180
78,1023,100.0,180
79,64,0.0,206
79,511,50.0,520
79,1023,90.0,180
79,1023,99.0,180
79,1023,99.9,180
79,1023,99.99,180
79,1023,99.999,180
79,1023,100.0,180
80,16,0.0,31
80,511,50.0,526
80,1023,90.0,144
80,1023,99.0,144
80,1023,99.9,144
80,1023,99.99,144
80,1023,99.999,144
80,1023,100.0,144
81,64,0.0,170
81,511,50.0,423
81,1023,90.0,170
81,1023,99.0,170
81,1023,99.9,170
81,1023,99.99,170
