window,value,percentile,total_count
0,4,0.0,8
0,15,50.0,992
0,15,90.0,992
0,15,99.0,992
0,15,99.9,992
0,15,99.99,992
0,15,99.999,992
0,15,100.0,992
1,4,0.0,5
1,127,50.0,452
1,255,90.0,421
1,255,99.0,421
1,255,99.9,421
1,255,99.99,421
1,255,99.999,421
1,255,100.0,421
2,4,0.0,2
2,127,50.0,393
2,255,90.0,482
2,255,99.0,482
2,255,99.9,482
2,255,99.99,482
2,255,99.999,482
2,255,100.0,482
3,0,0.0,4
3,63,50.0,300
3,127,90.0,382
3,127,99.0,382
3,127,99.9,382
3,127,99.99,382
3,127,99.999,382
3,127,100.0,382
4,32,0.0,70
4,127,50.0,476
4,255,90.0,454
4,255,99.0,454
4,255,99.9,454
4,255,99.99,454
4,255,99.999,454
4,255,100.0,454
5,32,0.0,51
5,127,50.0,452
5,255,90.0,497
5,255,99.0,497
5,255,99.9,497
5,255,99.99,497
5,255,99.999,497
5,255,100.0,497
6,16,0.0,17
6,127,50.0,438
6,255,90.0,449
6,255,99.0,449
6,255,99.9,449
6,255,99.99,449
6,255,99.999,449
6,255,100.0,449
7,16,0.0,6
7,127,50.0,501
7,255,90.0,389
7,255,99.0,389
7,255,99.9,389
7,255,99.99,389
7,255,99.999,389
7,255,100.0,389
8,16,0.0,17
8,127,50.0,500
8,255,90.0,418
8,255,99.0,418
8,255,99.9,418
8,255,99.99,418
8,255,99.999,418
8,255,100.0,418
9,16,0.0,27
9,127,50.0,465
9,255,90.0,396
9,255,99.0,396
9,255,99.9,396
9,255,99.99,396
9,255,99.999,396
9,255,100.0,396
10,1,0.0,2
10,127,50.0,524
10,255,90.0,239
10,255,99.0,239
10,255,99.9,239
10,255,99.99,239
10,255,99.999,239
10,255,100.0,239
11,0,0.0,2
11,127,50.0,407
11,255,90.0,404
11,255,99.0,404
11,255,99.9,404
11,255,99.99,404
11,255,99.999,404
11,255,100.0,404
12,8,0.0,1
12,127,50.0,439
12,255,90.0,462
12,255,99.0,462
12,255,99.9,462
12,255,99.99,462
12,255,99.999,462
12,255,100.0,462
13,1,0.0,6
13,127,50.0,355
13,255,90.0,200
13,255,99.0,200
13,255,99.9,200
13,255,99.99,200
13,255,99.999,200
13,255,100.0,200
14,0,0.0,8
14,63,50.0,300
14,127,90.0,370
14,127,99.0,370
14,127,99.9,370
14,127,99.99,370
14,127,99.999,370
14,127,100.0,370
15,16,0.0,25
15,127,50.0,463
15,255,90.0,446
15,255,99.0,446
15,255,99.9,446
15,255,99.99,446
15,255,99.999,446
15,255,100.0,446
16,4,0.0,4
16,127,50.0,428
16,255,90.0,371
16,255,99.0,371
16,255,99.9,371
16,255,99.99,371
16,255,99.999,371
16,255,100.0,371
17,8,0.0,6
17,127,50.0,449
17,255,90.0,392
17,255,99.0,392
17,255,99.9,392
17,255,99.99,392
17,255,99.999,392
17,255,100.0,392
18,2,0.0,4
18,127,50.0,469
18,255,90.0,381
18,255,99.0,381
18,255,99.9,381
18,255,99.99,381
18,255,99.999,381
18,255,100.0,381
19,4,0.0,3
19,127,50.0,405
19,255,90.0,467
19,255,99.0,467
19,255,99.9,467
19,255,99.99,467
19,255,99.999,467
19,255,100.0,467
20,4,0.0,2
20,127,50.0,405
20,255,90.0,445
20,255,99.0,445
20,255,99.9,445
20,255,99.99,445
20,255,99.999,445
20,255,100.0,445
21,32,0.0,27
21,255,50.0,590
21,255,90.0,590
21,255,99.0,590
21,255,99.9,590
21,255,99.99,590
21,255,99.999,590
21,255,100.0,590
22,32,0.0,62
22,255,50.0,503
22,255,90.0,503
22,255,99.0,503
22,255,99.9,503
22,255,99.99,503
22,255,99.999,503
22,255,100.0,503
23,16,0.0,18
23,127,50.0,451
23,255,90.0,429
23,255,99.0,429
23,255,99.9,429
23,255,99.99,429
23,255,99.999,429
23,255,100.0,429
24,16,0.0,25
24,127,50.0,445
24,255,90.0,427
24,255,99.0,427
24,255,99.9,427
24,255,99.99,427
24,255,99.999,427
24,255,100.0,427
25,32,0.0,78
25,255,50.0,501
25,255,90.0,501
25,255,99.0,501
25,255,99.9,501
25,255,99.99,501
25,255,99.999,501
25,255,100.0,501
26,8,0.0,5
26,127,50.0,464
26,255,90.0,380
26,255,99.0,380
26,255,99.9,380
26,255,99.99,380
26,255,99.999,380
26,255,100.0,380
27,4,0.0,3
27,127,50.0,433
27,255,90.0,399
27,255,99.0,399
27,255,99.9,399
27,255,99.99,399
27,255,99.999,399
27,255,100.0,399
28,16,0.0,27
28,127,50.0,445
28,255,90.0,401
28,255,99.0,401
28,255,99.9,401
28,255,99.99,401
28,255,99.999,401
28,255,100.0,401
29,4,0.0,3
29,127,50.0,464
29,255,90.0,404
29,255,99.0,404
29,255,99.9,404
29,255,99.99,404
29,255,99.999,404
29,255,100.0,404
30,32,0.0,8
30,127,50.0,592
30,255,90.0,400
30,255,99.0,400
30,255,99.9,400
30,255,99.99,400
30,255,99.999,400
30,255,100.0,400
31,32,0.0,56
31,127,50.0,579
31,255,90.0,365
31,255,99.0,365
31,255,99.9,365
31,255,99.99,365
31,255,99.999,365
31,255,100.0,365
32,64,0.0,541
32,127,50.0,541
32,255,90.0,459
32,255,99.0,459
32,255,99.9,459
32,255,99.99,459
32,255,99.999,459
32,255,100.0,459
33,32,0.0,14
33,127,50.0,533
33,255,90.0,453
33,255,99.0,453
33,255,99.9,453
33,255,99.99,453
33,255,99.999,453
33,255,100.0,453
34,32,0.0,53
34,127,50.0,637
34,255,90.0,310
34,255,99.0,310
34,255,99.9,310
34,255,99.99,310
34,255,99.999,310
34,255,100.0,310
35,64,0.0,516
35,127,50.0,516
35,255,90.0,484
35,255,99.0,484
35,255,99.9,484
35,255,99.99,484
35,255,99.999,484
35,255,100.0,484
36,32,0.0,17
36,255,50.0,524
36,255,90.0,524
36,255,99.0,524
36,255,99.9,524
36,255,99.99,524
36,255,99.999,524
36,255,100.0,524
37,32,0.0,23
37,127,50.0,582
37,255,90.0,395
37,255,99.0,395
37,255,99.9,395
37,255,99.99,395
37,255,99.999,395
