window,workload
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,852
31,994
32,991
33,1009
34,987
35,992
36,992
37,1000
38,987
39,987
40,989
41,1004
42,995
43,996
44,981
45,999
46,987
47,998
48,1002
49,993
50,986
51,991
52,1000
53,982
54,998
55,990
56,995
57,984
58,994
59,991
60,1000
61,998
62,997
63,991
64,988
65,991
66,993
67,996
68,994
69,987
70,997
71,991
72,999
73,1004
74,993
75,987
76,995
77,1010
78,981
79,1006
80,982
81,994
82,1001
83,990
84,993
85,993
86,987
87,996
88,951
89,996
90,2
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0

