window,value,percentile,total_count
0,8,0.0,549
0,15,50.0,549
0,255,90.0,176
0,255,99.0,176
0,255,99.9,176
0,255,99.99,176
0,255,99.999,176
0,255,100.0,176
1,1,0.0,648
1,1,50.0,648
1,127,90.0,276
1,255,99.0,76
1,255,99.9,76
1,255,99.99,76
1,255,99.999,76
1,255,100.0,76
2,1,0.0,403
2,127,50.0,275
2,255,90.0,252
2,255,99.0,252
2,255,99.9,252
2,255,99.99,252
2,255,99.999,252
2,255,100.0,252
3,1,0.0,313
3,3,50.0,260
3,255,90.0,152
3,255,99.0,152
3,255,99.9,152
3,255,99.99,152
3,255,99.999,152
3,255,100.0,152
4,1,0.0,591
4,1,50.0,591
4,127,90.0,327
4,127,99.0,327
4,127,99.9,327
4,127,99.99,327
4,127,99.999,327
4,127,100.0,327
5,0,0.0,22
5,127,50.0,274
5,255,90.0,229
5,255,99.0,229
5,255,99.9,229
5,255,99.99,229
5,255,99.999,229
5,255,100.0,229
6,1,0.0,242
6,7,50.0,109
6,255,90.0,128
6,255,99.0,128
6,255,99.9,128
6,255,99.99,128
6,255,99.999,128
6,255,100.0,128
7,2,0.0,56
7,7,50.0,641
7,127,90.0,275
7,255,99.0,28
7,255,99.9,28
7,255,99.99,28
7,255,99.999,28
7,255,100.0,28
8,2,0.0,21
8,15,50.0,428
8,255,90.0,203
8,255,99.0,203
8,255,99.9,203
8,255,99.99,203
8,255,99.999,203
8,255,100.0,203
9,2,0.0,75
9,7,50.0,546
9,127,90.0,104
9,127,99.0,104
9,127,99.9,104
9,127,99.99,104
9,127,99.999,104
9,127,100.0,104
10,2,0.0,14
10,7,50.0,707
10,63,90.0,276
10,63,99.0,276
10,255,99.9,3
10,255,99.99,3
10,255,99.999,3
10,255,100.0,3
11,4,0.0,546
11,7,50.0,546
11,63,90.0,454
11,63,99.0,454
11,63,99.9,454
11,63,99.99,454
11,63,99.999,454
11,63,100.0,454
12,2,0.0,63
12,7,50.0,584
12,63,90.0,275
12,255,99.0,78
12,255,99.9,78
12,255,99.99,78
12,255,99.999,78
12,255,100.0,78
13,4,0.0,472
13,63,50.0,134
13,255,90.0,254
13,255,99.0,254
13,255,99.9,254
13,255,99.99,254
13,255,99.999,254
13,255,100.0,254
14,2,0.0,251
14,7,50.0,320
14,255,90.0,155
14,255,99.0,155
14,255,99.9,155
14,255,99.99,155
14,255,99.999,155
14,255,100.0,155
15,2,0.0,16
15,7,50.0,654
15,127,90.0,274
15,255,99.0,56
15,255,99.9,56
15,255,99.99,56
15,255,99.999,56
15,255,100.0,56
16,1,0.0,493
16,127,50.0,275
16,255,90.0,230
16,255,99.0,230
16,255,99.9,230
16,255,99.99,230
16,255,99.999,230
16,255,100.0,230
17,2,0.0,125
17,7,50.0,388
17,255,90.0,131
17,255,99.0,131
17,255,99.9,131
17,255,99.99,131
17,255,99.999,131
17,255,100.0,131
18,2,0.0,359
18,7,50.0,611
18,7,90.0,611
18,127,99.0,30
18,127,99.9,30
18,127,99.99,30
18,127,99.999,30
18,127,100.0,30
19,1,0.0,47
19,3,50.0,473
19,127,90.0,205
19,127,99.0,205
19,127,99.9,205
19,127,99.99,205
19,127,99.999,205
19,127,100.0,205
20,1,0.0,340
20,3,50.0,280
20,127,90.0,104
20,127,99.0,104
20,127,99.9,104
20,127,99.99,104
20,127,99.999,104
20,127,100.0,104
21,2,0.0,392
21,7,50.0,298
21,31,90.0,275
21,31,99.0,275
21,127,99.9,3
21,127,99.99,3
