average_rate,sentence_length,window_size,undershoot_window_size,window_limit,spacing_name,cutoff_type,current_rate,sentences_processed,end_time,emit_duration,work_duration,sleep_duration,padding_duration,transmission_diff,number_of_sleeps,remaining_time,between_loop_duration,number_of_transmitted_windows,spike
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535622265,11,11,0,989,989,0,989,0,0,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535623265,572,72,500,428,428,500,928,1000,1,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535624265,564,64,500,436,436,500,936,1000,2,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535625267,572,72,500,428,428,500,928,1001,3,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535626267,568,68,500,432,432,500,932,1001,4,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535627267,599,99,500,401,401,500,901,1000,5,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535628270,673,173,500,327,327,500,827,1000,6,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535629271,686,186,500,314,314,500,814,1003,7,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535630271,710,210,500,290,290,500,790,1001,8,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535631271,679,179,500,321,321,500,821,1000,9,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535632271,690,190,500,310,310,500,810,1000,10,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535633271,691,191,500,309,309,500,809,1000,11,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535634271,732,232,500,268,268,500,768,1000,12,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535635272,714,214,500,286,286,500,786,1001,13,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535636273,704,204,500,296,296,500,796,1000,14,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535637273,710,210,500,290,290,500,790,1001,15,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535638273,683,183,500,317,317,500,817,1000,16,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535639275,695,195,500,305,305,500,805,1001,17,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535640276,695,195,500,305,305,500,805,1001,18,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535641277,689,189,500,311,311,500,811,1001,19,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535642277,711,211,500,289,289,500,789,1001,20,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535643279,683,183,500,317,317,500,817,1001,21,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535644280,693,193,500,307,307,500,807,1001,22,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535645281,683,183,500,317,317,500,817,1001,23,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535646281,690,190,500,310,310,500,810,1001,24,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535647282,670,170,500,330,330,500,830,1000,25,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535648283,687,187,500,313,313,500,813,1001,26,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535649287,685,185,500,315,315,500,815,1001,27,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535650288,694,194,500,306,306,500,806,1004,28,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535651292,690,190,500,310,310,500,810,1004,29,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535652292,694,194,500,306,306,500,806,1001,30,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535653292,679,179,500,321,321,500,821,1000,31,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535654293,685,185,500,315,315,500,815,1000,32,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535655293,681,181,500,319,319,500,819,1001,33,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535656294,684,184,500,316,316,500,816,1000,34,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535657294,689,189,500,311,311,500,811,1001,35,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535658296,693,193,500,307,307,500,807,1000,36,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535659297,705,205,500,295,295,500,795,1002,37,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535660297,693,193,500,307,307,500,807,1001,38,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535661298,694,194,500,306,306,500,806,1000,39,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535662299,683,183,500,317,317,500,817,1001,40,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535663301,702,202,500,298,298,500,798,1001,41,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535664301,684,184,500,316,316,500,816,1002,42,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535665301,713,213,500,287,287,500,787,1000,43,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535666302,690,190,500,310,310,500,810,1000,44,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535667302,695,195,500,305,305,500,805,1001,45,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535668302,696,196,500,304,304,500,804,1000,46,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535669305,698,198,500,302,302,500,802,1000,47,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535670306,681,181,500,319,319,500,819,1003,48,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535671306,695,195,500,305,305,500,805,1001,49,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535672307,706,206,500,294,294,500,794,1000,50,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535673307,870,370,500,130,130,500,630,1001,51,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535674309,896,396,500,104,104,500,604,1001,52,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535675380,1071,571,500,0,-71,500,429,1001,53,0
