window,value,percentile,total_count
0,8,0.0,825
0,15,50.0,825
0,127,90.0,175
0,127,99.0,175
0,127,99.9,175
0,127,99.99,175
0,127,99.999,175
0,127,100.0,175
1,1,0.0,587
1,1,50.0,587
1,31,90.0,276
1,127,99.0,74
1,127,99.9,74
1,127,99.99,74
1,127,99.999,74
1,127,100.0,74
2,2,0.0,476
2,31,50.0,276
2,127,90.0,248
2,127,99.0,248
2,127,99.9,248
2,127,99.99,248
2,127,99.999,248
2,127,100.0,248
3,1,0.0,487
3,3,50.0,88
3,127,90.0,150
3,127,99.0,150
3,127,99.9,150
3,127,99.99,150
3,127,99.999,150
3,127,100.0,150
4,1,0.0,359
4,3,50.0,317
4,31,90.0,275
4,127,99.0,49
4,127,99.9,49
4,127,99.99,49
4,127,99.999,49
4,127,100.0,49
5,1,0.0,31
5,7,50.0,174
5,127,90.0,226
5,127,99.0,226
5,127,99.9,226
5,127,99.99,226
5,127,99.999,226
5,127,100.0,226
6,0,0.0,58
6,1,50.0,542
6,255,90.0,125
6,255,99.0,125
6,255,99.9,125
6,255,99.99,125
6,255,99.999,125
6,255,100.0,125
7,2,0.0,146
7,7,50.0,554
7,31,90.0,276
7,255,99.0,24
7,255,99.9,24
7,255,99.99,24
7,255,99.999,24
7,255,100.0,24
8,4,0.0,447
8,15,50.0,79
8,63,90.0,474
8,63,99.0,474
8,63,99.9,474
8,63,99.99,474
8,63,99.999,474
8,63,100.0,474
9,2,0.0,624
9,3,50.0,624
9,127,90.0,375
9,127,99.0,375
9,127,99.9,375
9,127,99.99,375
9,127,99.999,375
9,127,100.0,375
10,0,0.0,67
10,1,50.0,658
10,15,90.0,274
10,15,99.0,274
10,15,99.9,274
10,127,99.99,1
10,127,99.999,1
10,127,100.0,1
11,2,0.0,142
11,7,50.0,407
11,127,90.0,177
11,127,99.0,177
11,127,99.9,177
11,127,99.99,177
11,127,99.999,177
11,127,100.0,177
12,2,0.0,167
12,7,50.0,480
12,31,90.0,274
12,127,99.0,79
12,127,99.9,79
12,127,99.99,79
12,127,99.999,79
12,127,100.0,79
13,4,0.0,471
13,63,50.0,274
13,255,90.0,255
13,255,99.0,255
13,255,99.9,255
13,255,99.99,255
13,255,99.999,255
13,255,100.0,255
14,1,0.0,103
14,3,50.0,467
14,255,90.0,155
14,255,99.0,155
14,255,99.9,155
14,255,99.99,155
14,255,99.999,155
14,255,100.0,155
15,1,0.0,27
15,7,50.0,595
15,7,90.0,595
15,127,99.0,56
15,127,99.9,56
15,127,99.99,56
15,127,99.999,56
15,127,100.0,56
16,4,0.0,469
16,31,50.0,275
16,127,90.0,231
16,127,99.0,231
16,127,99.9,231
16,127,99.99,231
16,127,99.999,231
16,127,100.0,231
17,2,0.0,48
17,7,50.0,548
17,127,90.0,130
17,127,99.0,130
17,127,99.9,130
17,127,99.99,130
17,127,99.999,130
17,127,100.0,130
18,2,0.0,77
18,7,50.0,618
18,31,90.0,276
18,127,99.0,29
18,127,99.9,29
18,127,99.99,29
18,127,99.999,29
18,127,100.0,29
19,2,0.0,124
19,7,50.0,397
19,255,90.0,203
19,255,99.0,203
19,255,99.9,203
19,255,99.99,203
19,255,99.999,203
19,255,100.0,203
20,2,0.0,525
20,3,50.0,525
20,255,90.0,103
20,255,99.0,103
20,255,99.9,103
20,255,99.99,103
20,255,99.999,103
20,255,100.0,103
21,4,0.0,666
21,7,50.0,666
21,127,90.0,275
21,127,99.0,275
21,255,99.9,3
21,255,99.99,3
21,255,99.999,3
21,255,100.0,3
22,1,0.0,107
22,7,50.0,236
22,127,90.0,453
22,127,99.0,453
22,127,99.9,453
22,127,99.99,453
